"title","img","desc"
"Tataki Kyuri","https://kimurayadubai.com/wp-content/uploads/2022/08/as1.jpg","Cucumber With Spicy sauce"
"Cream Cheese & Avocado Kyushu Shoyu","https://kimurayadubai.com/wp-content/uploads/2022/08/as2.jpg","Philadelphia cheese and avocado marinated with sweet soy sauce"
"Edamame","https://kimurayadubai.com/wp-content/uploads/2022/08/as3.jpg","Salted Edamame"
"Spicy Edamame","https://kimurayadubai.com/wp-content/uploads/2022/08/as4.jpg","Edamame with Spicy Sauce"
"Aburi Mentaiko","https://kimurayadubai.com/wp-content/uploads/2022/08/as5.jpg","Seared Code roe"
"Kimchi Yakko","https://kimurayadubai.com/wp-content/uploads/2022/08/as6.jpg","Tofu with kimchi"
"Wagyu Carpaccio","https://kimurayadubai.com/wp-content/uploads/2022/08/as7.jpg","Seared A4 wagyu beef"
"A5 Wagyu Carpaccio","https://kimurayadubai.com/wp-content/uploads/2022/08/as8.jpg","Seared A5 Japanese Wagyu"
"Potato Salad","https://kimurayadubai.com/wp-content/uploads/2022/08/as9.jpg","Mashed potato with egg and mayonnaise"
"Salmon Salad","https://kimurayadubai.com/wp-content/uploads/2022/08/as10.jpg","Vegetable and Salmon salad with sesame based dressing"
"Green Salad","https://kimurayadubai.com/wp-content/uploads/2022/08/as11.jpg","Green vegetable salad with yuzu citrus dressing"
"Crab Stick Salad","https://kimurayadubai.com/wp-content/uploads/2022/08/as12.jpg","Vegetable and crab stick salad with sesame based dressing"