"title","img","desc","price"
"Churrasco (750 grs) ( Dos personas )",,,"62,00€"
"Entrecot",,,"27,50€"
"Solomillo",,,"28,00€"
"Escalopines (con ajo y perejil)",,,"28,00€"
"Carne tártara",,,"28,00€"
"Chuleta de ternera",,,"27,00€"
"Cochinillo ",,,"27,00€"
"Albóndigas de ternera",,,"21,00€"
"Escalope de ternera",,,"20,50€"
"Pollo ajillo",,,"18,50€"
"Pollo de corral en pepitoria ",,,"22,00€"
"Jarrete de ternera estofado",,,"23,00€"
"Perdiz estofada (temporada)",,,"24,50€"
"Filete de lomo alto",,,"27,50€"
"Chuletitas de cordero ( Fritas o Plancha )",,,"24,00€"